Tweet,Location,User Id,Compound,Negative,Neutral,Positive
Matthew K. Davis Stores should deploy security to stand next to them., ,quarlic,0.34,0,82.1,17.9
"I'd like throw Jeff Bezos and his arrogant, pompous execs inside their locker. Right, I don't like him.  I don't like liars and I don't like hypocrites.", ,VIDEOHEREBOB,0.8213,9.4,53,37.6
he is still the richest man in the world so on behalf of him fuck you and you don't matter, ,MultiTHEJOKER,-0.0449,18.3,68.1,13.6
Matthew K. Davis Stores should deploy security to stand next to them., ,quarlic,0.34,0,82.1,17.9
Looks like I have to start using this since some jackass in my apartment building has sticky fingers., ,ilovepink86,-0.0772,13.8,73.9,12.3
This was the best how to video. Thanks chap!, ,jubeiBrow,0.8122,0,48.6,51.4
"Thank you, I wasn\u2019t sure what to expect in using the locker.", ,mochakreme,0.5859,0,65.2,34.8
Pretty much nonsense to put an Amazon Locker into a grocery store or is it 24/7 ?, ,Zardoz,0.296,13.8,61.2,25
This video is extremely British lol., ,Viq,0.4728,0,61.9,38.1
Pocket pussy, ,xPikez,0,0,100,0
"Nice video but the information is out of date.\nAs of writing this Amazon doesn't charge a fee anymore to non Prime members to use the Amazon locker in the US. \nAlso you only have 3 days to collect your shipment from the locker after delivery, not 5. \nOf course you're in the UK so maybe Amazon's rules are still different there.", ,420GratefulHippie,0.6731,0,89.6,10.4
Lol great how to video. Thanks!, ,OhhMyy,0.8777,0,22.9,77.1
"Movies, Amazon Music, Free delivery (on selected products), same day/one day delivery, giveaway, and a tons of other advantages.", ,MegaAgente17,0.7579,0,66.7,33.3
Your accent reminds me of Mr. Bean for some reason lol I love it though so it's def not meant as an insult, ,LilMizzLae,0.5719,11.3,64.8,23.9
Very clear and helpful. Thank you Techmoan.\nI just wish that you'd have mentioned both how popular they are and quickly they fill up., ,beingsshepherd,0.9179,0,56.3,43.7
Letting kids buy gift cards and buy underaged items easily, ,DerpiestNoob,0.6486,0,60.2,39.8
I assume you were around mostly British people in Australia then., ,Eluziv3,0,0,100,0
Hahahaha, ,MegaAgente17,0,0,100,0
NightcoreUnity Im pretty sure the delivery guy wont be able to tell your age, ,JuugMoney,0.6705,0,68.6,31.4
NightcoreUnity You dont have to be 18 to buy on amazon Lol, ,JuugMoney,0.5423,0,69,31
"Same! I'm in the middle of moving, and I don't want the package ending up at my old place, so I decided to try using a locker for the first time ever. Hopefully the US version is as easy as the UK one. (I should find out tomorrow or the next day.)", ,Thistlechaser,0.6878,2.3,86.6,11.1
thank you for the info.  i hope there are lockers in our country., ,VeNuS2910,0.6597,0,64.9,35.1
What a bitch...all she needs is a code.\n\n\n\n\n\n\n\n\n:p, ,MegaZsolti,0,0,100,0
In the states they just leave the package vaguely near your home. doesn't matter if your not home., ,johnsebastianbach,-0.0706,12.4,87.6,0
"What a great idea, but not available here in Australia, as far as I know", ,bushyconn,0.3716,0,82.5,17.5
In Germany it always gets delivered to youre neighbor :D But Nice Video :D, ,Molly,0.9147,0,48.3,51.7
Thats correct but mostly they bering my packages to my neighbor, ,Molly,0,0,100,0
thanks, ,joydime,0.4404,0,0,100
"Pay extra for leaving them less work?! Surprising that it's amazon specific as well, the national postage service here in Denmark offers a pretty much identical service, where the boxes are either on the street somewhere (so 24/7 access) or in some coop stores.", ,dumle29,0.7726,2.9,78.3,18.8
"What on earth?  The idea of fetching a package is unthinkable to an American.  My packages show up on my front porch.  I am godsmacked.  Love Denmark, especially Odense. Skoll.", ,joydime,0.6369,0,86.5,13.5
do they handle digital delivery of goods?, ,FreeQuest,0,0,100,0
in Finland all post  are those except the main centers they are great, ,ThePowernest80,0.6249,0,74.5,25.5
If I want to order something that needs Id for like and 18+ game how would the Amazon locker verify your age?, ,Eddie,0.5423,0,76.6,23.4
"This postbox is right outside the shop in my hometown, so you`re not bounded to shop working times.", ,Dalsir,0,0,100,0
"In Germany DHL operates very similar looking ""packstationen""", ,CAESARbonds,0,0,100,0
"Russian Standard, good choice in vodka.   :)", ,pythonfan78,0.7096,0,45.9,54.1
Your voice sounds exactly like James May.  You could do a radio show with him and it would be VERY confusing., ,rlrsk8r1,-0.1093,12.5,76.8,10.7
does anyone know of a service like this in Canada?\nI tried researching and found a thing called BufferBox but they are now closed and were bought by Google., ,zachary159,0.1901,0,93.5,6.5
your videos are great, ,wutzerface77,0.6249,0,42.3,57.7
Sad times Peach is no longer in Standish :'(, ,bex2910,-0.8176,58.6,41.4,0
Similar thing Amazon does in India as well., ,seeameya,0.4215,0,61.2,38.8
The Finnish Post has the same kind of locker system. It's called SmartPost. Many online shops have this option and it costs less than home delivery. Sometimes it's even free. Delivery SMS says the box will stay in the locker for a week., ,komposiittinyrkki,0.5106,0,92.6,7.4
Thats a neat idea....I wish we had them in Oz..... Actually. Wouldnt make much difference to me as I dont shop on amazon....opsss....lol.\n\nRob, ,RDPproject,0.6908,0,76.9,23.1
"I really don't rate these amazon pickup thingy ma jigs!  The one in this video looks great in a bright supermarket, but there is one near me in a dark corner of a petrol station.  Some poor not very security conscious person collects there brand new expensive gadget only for some scumbag to come along and take said item from poor victim.  ", ,MrCrouchy,-0.9564,28,66.1,5.9
"In Germany we have somethings similar. It is called ""Packstation"" and is operated by DHL.\nOne can not only receive parcels from Amazon but any parcel delivered through DHL.\nhttp://www.dhl.de/de/paket/pakete-empfangen/packstation.html", ,bangser,0.09,0,95.2,4.8
We do now :), ,Nicole3900,0.4588,0,50,50
Your videos are always great!!\nKeep'em coming !!, ,pakpukik,0,0,100,0
"Thanks for sharing, I've never used Amazon much but this options makes buying stuff from them even more convenient.", ,gothicel,0.38,6,75.8,18.2
I remember this video., ,mav6771,0,0,100,0
Can you do a video on the charger stations? There in John Lewis! , ,zquigleyp,0,0,100,0
"We have this in Finland too, but its ran by regular postal service. I don't know why it wasn't implemented before, they could had done it decades ago.", ,miiiikku,0,0,100,0
Ye old essential Vodka :), ,AlexGP90,0.4588,0,57.1,42.9
That's a cool idea! Never knew such a thing existed :-), ,ravenryuu,0.5983,0,58.9,41.1
+Techmoan what camera do you use to film this video?, ,tititmanja,0,0,100,0
theres no such thing in the us?, ,723lion,-0.296,26.8,73.2,0
Informative video like always.. had no idea this existed. Thanks for sharing.\xa0, ,JimmyMartian,0.4939,13.3,54.2,32.5
One simple code to use. I thought it may be more complicated., ,Maxsdiscos,0,0,100,0
Very cool. \xa0I hope we get those here soon., ,frollard,0.6962,0,54.9,45.1
Russian Standard! :D, ,Granite,0.6514,0,31.6,68.4
"In Japan, you can deliver the package to a convenience store near you and then pick it up from the counter there anytime of the day. I haven't actually tried that, however, as I mostly schedule my packages to be delivered at a specific time slot (e.g. 8-12, 12-14, 14-16... etc). Scheduling will cause a slight delay when compared to the fast shipping provided by Prime (something like half a day later or so).", ,Fanta711,0.0516,3.2,93.2,3.5
+HB45175\xa0I live in an apartment in Seattle and US post drop the mail off in a mailbox in the parking lot and anything that won't fit they put outside my door even if I am not at home. Rarely they hide it behind a plant or under the welcome mat but I have never had a package stolen in 4+ years here so it works fine even for big items like a laptop which they can't hide.\xa0, ,DrScopeify,0.857,3.9,80.3,15.8
+Fanta711 You go to the petrol station or grocery store and they'll send it for you., ,HB45175,0,0,100,0
"+Jerry Law Gotta say the quality of food in the convenience stores in Japan (lunch boxes, sandwiches and fried food among others) is surprisingly great. 7-Eleven's onigiri are just awesome.", ,Fanta711,0.886,0,72.2,27.8
"+Jerry Law While they are quite convenient, I usually try to avoid buying by from them since they are more expensive than supermarkets and grocery shops (which usually close between 7-8PM with some closing around 10PM).", ,Fanta711,-0.296,6.1,93.9,0
