Tweet,Location,Time,User Id,Compound,Negative,Neutral,Positive
RT ad This year I m buying all my festival essentials from s new shop I m,DK, , ,0.4939,0.0,77.5,22.5
Amazon sets up temp AmazonLockers site at Coachella creates a special online spot for concert goers to find amp o,"New York, NY", , ,0.6705,0.0,69.8,30.2
NEWSALERT Walmart Is Beating Amazon in a Business Worth 35 Billion states,London, , ,-0.1027,20.5,54.8,24.7
With and what more do you need,NY, , ,0.0,0.0,100.0,0.0
This is how treats your packages I remind the couriers EVERYDAY where they can find their code to log them,US, , ,0.0,0.0,100.0,0.0
RT Amazon Lockers took so much pressure off me packing for this year SO convenient and easy Pretty sure Locke,"Recife, Brasil", , ,0.8198,8.7,52.6,38.7
Vibes will be available at through AmazonLockers The Amazon Coachella storefront is a curated assort,, , ,0.1779,0.0,88.4,11.600000000000001
This is embarrassing Having trouble shipping to lockers and the staff at have no idea what a Coachella locker is,NYC, , ,-0.7579,31.900000000000002,68.10000000000001,0.0
Want lightening fast delivery Thor s got it covered on our Amazon lockers IC Anna Marie Albu,, , ,0.25,0.0,82.39999999999999,17.599999999999998
Does anyone know how much AMZN are paying WPG to put their Amazon Lockers into the shopping centers You would t,New York, , ,0.1779,0.0,91.8,8.200000000000001
RT ad This year I m buying all my festival essentials from s new shop I m,"Pancoran Mas, Indonesia", , ,0.4939,0.0,77.5,22.5
RT Weekend two of starts tomorrow Check out how AmazonLockers are making it easy for festivalgoers to ship festival e,Finland, , ,0.8074,0.0,65.8,34.2
According to Amazon s Q1 2019 financial report Amazon Web Services remains the company s largest source of profit,nyc, , ,0.6486,0.0,69.0,31.0
Don t forget we have an amazon locker in store never miss your orders again amazonlocker amazon amazondelivery,"Kingston upon Thames, London", , ,0.2368,9.6,65.8,24.5
RT Weekend two of starts tomorrow Check out how AmazonLockers are making it easy for festivalgoers to ship festival e,"914 Coventry Court
Baton Rouge, LA 70806", , ,0.8074,0.0,65.8,34.2
i just had six packages to pick up from amazon lockers and it felt like that nick show what would you do amp the wall,"Orlando, FL", , ,0.4939,0.0,84.0,16.0
Nouveau service au sein de votre Galerie Un Locker centresudlemans lemans sarthe shopping,"Le Mans, France", , ,0.0,0.0,100.0,0.0
No deja de sorprenderme que alguien proponga promocionar comercio local y al mismo tiempo decir que instalar n,Barcelona, , ,-0.296,12.8,87.2,0.0
Work in Redhill Our Amazon Lockers in the Belfry might make your life a little bit easier,"Redhill, Surrey", , ,0.4976,0.0,76.8,23.200000000000003
Don t forget we have an amazon locker in store never miss your orders again amazonlocker amazon amazondelivery,"Kingston upon Thames, London", , ,0.2368,9.6,65.8,24.5
Dear you may want to train your DeliverySpecialists a bit more This is my package left behind a fern,"Memphis, TN", ,0.4404,0.0,79.4,20.599999999999998
credits AI driven enhancements and mathematical optimizations for Locker growth,"Pacific Northwest, WA, USA", ,0.7184,0.0,50.0,50.0
Don t forget we have an amazon locker in store never miss your orders again amazonlocker amazon amazondelivery,"Kingston upon Thames, London",19-06-05 10:54:01, ,0.2368,9.6,65.8,24.5
Check it out now has AmazonLockers Get your parcels delivered to these lockers and collect at,"Croft Rd Coventry CV1 3AZ, England",19-06-06 08:51:47, ,0.0,0.0,100.0,0.0
Still happening Even after the new key feature has been rolled out AND having lockers This is disgraceful,,19-06-12 05:31:53, ,0.0,0.0,100.0,0.0
Amazon credits AI driven enhancements and mathematical optimizations for Locker growth DataScience,"Minneapolis, MN",19-06-12 13:30:19, ,0.7717,0.0,47.9,52.1
